Title of Publication,Authors,Year of Publication/Posting for Preprints,Study Design/Method of Analysis (https://research.library.gsu.edu/c.php?g=115595&p=755213),Primary and or Secondary Outcome Variable,General Primary Outcome,Rationale/Main Goal,Published in Special Issue (y/n),"Study Location (City, State, Country)",Country,Implicit/Explicit mention of Health Equity,Buckets A vs Not Bucket A,Notes,,,,,,,,,,,,,,,,,
Reflection of Socioeconomic Changes in Wastewater: Licit and Illicit DrugUse Patterns,"Thomaidis, Nikolaos S; Gago-Ferrero, Pablo; Ort, Christoph; Maragou, Niki C; Alygizakis, Nikiforos A; Borova, Viola L; Dasenaki, Marilena E",2016,Surveillance Study,Drug concentration in influent wastewater samples,Illicit/Nonillicit Drugs,"s to use the tools offered by sewagebased epidemiology and quantify the effects of the economic crisis on the use of various classes of licit and illicit drugs, and correlate with social parameters ",No,Greece,Greece,Implicit,Not Bucket A,attempted to understand the effects of severe socioeconomic change on patterns of licit and illicit drug use,,,,,,,,,,,,,,,,,
Suitability of aircraft wastewater for pathogen detection and publichealth surveillance,"Jones, Davey L; Rhymes, Jennifer M; Wade, Matthew J; Kevill, Jessica L; Malham, Shelagh K; Grimsley, Jasmine M S; Rimmer, Charlotte; Weightman, Andrew J; Farkas, Kata",2023,Survey ,Survey data of individual likelihood to defecate,NA,To determine the feasiability of aircraft wastewater for the detection of SARS-CoV-2 cases ,No,United Kingdom ,UK,None,Bucket A,,,,,,,,,,,,,,,,,,
Development of Wastewater Pooled Surveillance of Severe Acute RespiratorySyndrome Coronavirus 2 (SARS-CoV-2) from Congregate Living Settings,"Colosi, Lisa M; Barry, Katie E; Kotay, Shireen M; Porter, Michael D; Poulter, Melinda D; Ratliff, Cameron; Simmons, William; Steinberg, Limor I; Wilson, D Derek; Morse, Rena; Zmick, Paul; Mathers, Amy J",2021,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,"To determine the sensitivity of wastewater sruveillance for detecting SARS-CoV-2, and determine wehther it can distinguish new infections from convalescent shedding  in congreate living settings",,"Virginia, USA",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
Environmental Surveillance for Noroviruses in Selected South AfricanWastewaters 2015-2016: Emergence of the Novel GII.17,"Mabasa, V V; Meno, K D; Taylor, M B; Mans, Janet",2018,Surveillance Study,NoV GI and GII presence in wastewater,Norovirus,"To assess whether wastewater samples could be used for routine surveillance of NoVs, including GII.4 variants",No,South Africa,South Africa,None,Bucket A,,,,,,,,,,,,,,,,,,
Assessing spatial distribution of COVID-19 prevalence in Brazil usingdecentralised sewage monitoring,"Mota, Cesar R; Bressani-Ribeiro, Thiago; Araújo, Juliana C; Leal, Cíntia D; Leroy-Freitas, Deborah; Machado, Elayne C; Espinosa, Maria Fernanda; Fernandes, Luyara; Leão, Thiago L; Chamhum-Silva, Lucas; Azevedo, Lariza; Morandi, Thiago; Freitas, Gabriel Tadeu O; Costa, Michelle S; Carvalho, Beatriz O; Reis, Marcus Tulius P; Melo, Marília C; Ayrimoraes, Sergio R; Chernicharo, Carlos A L",2021,Surveillance Study,SARS-CoV-2 RNA samples from wastewater and Health Vulnerability Index of different sampling areas,COVID-19,To show that decentralised monitoring of SARS-CoV-2 RNA in sewage can be used to assess the distribution of COVID-19 prevalence in the city,No,"Belo Horizonte, Brazil",,Implicit,Not Bucket A,Identifies the health vulnerability of sampled sites to rather than simply identifying burden alone,,,,,,,,,,,,,,,,,
"Simulated 2017 nationwide sampling at 13,940 major U.S. sewage treatmentplants to assess seasonal population bias in wastewater-based epidemiology","Hart, Olga E; Halden, Rolf U",2020,Simulation ,NA,NA,"To simulate repeated sampling at all major U.S. wastewater treatment plants under constant biomarker loading conditions, to explore the potential sensitivity of WBE for generating skewed data",No,USA,USA,Implicit,Not Bucket A, Considers socieconomic/geographic differences,,,,,,,,,,,,,,,,,
"Surveillance of SARS-CoV-2 in nine neighborhood sewersheds in DetroitTri-County area, United States: Assessing per capita SARS-CoV-2estimations and COVID-19 incidence","Li, Yabing; Miyani, Brijen; Zhao, Liang; Spooner, Maddie; Gentry, Zach; Zou, Yangyang; Rhodes, Geoff; Li, Hui; Kaye, Andrew; Norton, John; Xagoraraki, Irene",2022,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,"To screen population biomarkers for wastewater SARS-CoV-2 normalization and compared the normalized SARS-CoV-2 values
across locations with different demographic characteristics in southeastern Michigan",No,"Detroit, Michigan, USA",USA,Implicit,Not Bucket A,Considers demographic components of sampling sites,,,,,,,,,,,,,,,,,
Young population consume twice as much artificial sweetener than thegeneral population - A wastewater-based assessment in China,"Li, Dandan; Zheng, Qiuda; Wang, Zhe; Ren, Yuan; Thomas, Kevin V; Thai, Phong K",2022,Surveillance Study,Artificial sweetner concentration in wastewater,Artificial Sweetner,To understand artificial sweetener consumption patterns and levels in different demographics in order to formulate public health policies on controlling sugar consumption,No,South China,China,Implicit,Not Bucket A,Considers consumption of sweetners among different age groups,,,,,,,,,,,,,,,,,
Assessing changes in nicotine consumption over two years in a populationof Hanoi by wastewater analysis with benchmarking biomarkers,"Thanh, Bui Xuan; Vu, Giang T; Hue, Tran Thi Thanh; Zheng, Qiuda; Chan, Gary; Anh, Nguyen Thi Kieu; Thai, Phong K",2022,Surveillance Study,"Concentrations of cotinine, 3- hydroxycotinine, nicotine and other substances",Illicit/Nonillicit Drugs,"To conduct a WBE analysis in Hanoi, Vietnam, a lower-middle-income-country setting known for high smoking prevalence",No,"Hanoi, Vietnam",Vietnam,None,Bucket A,,,,,,,,,,,,,,,,,,
Pan-Enterovirus Amplicon-Based High-Throughput Sequencing Detects theComplete Capsid of a EVA71 Genotype C1 Variant via Wastewater-BasedEpidemiology in Arizona,"Faleye, Temitope O C; Driver, Erin; Bowes, Devin; Adhikari, Sangeet; Adams, Deborah; Varsani, Arvind; Halden, Rolf U; Scotch, Matthew",2020,Surveillance Study,Complete capsid of a genotype C1-like Enterovirus A71 variant recovered from wastewater,Enterovirus,To identify and descrbe Enterovirus A71 variant recovered from wastewater,Yes,"Tempe, Arizona, USA",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
"A rapid assessment of wastewater for genomic surveillance of SARS-CoV-2variants at sewershed scale in Louisville, KY","Fuqua, J L; Rouchka, E C; Waigel, S; Sokoloski, K; Chung, D; Zacharias, W; Zhang, M; Chariker, J; Talley, D; Santisteban, I; Varsani, A; Moyer, S; Holm, R H; Yeager, R A; Smith, T; Bhatnagar, A",2021,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,"To report on the genomic surveillance of SARS-CoV-2 using wastewater samples in Jefferson County, KY",NA,"Jefferson County, Kentucky, USA",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
Predicting daily COVID-19 case rates from SARS-CoV-2 RNA concentrationsacross a diversity of wastewater catchments,"Zulli, Alessandro; Pan, Annabelle; Bart, Stephen M; Crawford, Forrest W; Kaplan, Edward H; Cartter, Matthew; Ko, Albert I; Sanchez, Marcela; Brown, Cade; Cozens, Duncan; Brackney, Doug E; Peccia, Jordan",2022,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,To assess the relationship between municipality COVID-19 case rates and SARS-CoV-2 concentrations in the primary sludge of corresponding wastewater treatment facilities,No,"Connecticut, USA",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
Assessing patterns of illicit drug use in a Chinese city by analyzingdaily wastewater samples over a one-year period,"Zheng, Qiuda; Ren, Yuan; Wang, Zhe; Liu, Jinhua; Zhang, Yu; Lin, Wenting; Gao, Jianfa; Thomas, Kevin V; Thai, Phong K
",2021,Surveillance Study,"MDMA, methadone, methamphetamine and ketamine concentration in wastewater",Illicit/Nonillicit Drugs,To identify the temporal consumption trends of nine drugs in a Chinese megacity using WBE over a one-year period,No,Southern China,China,None,Bucket A,,,,,,,,,,,,,,,,,,
Placing sensors in sewer networks: A system to pinpoint new cases ofcoronavirus,"Nourinejad, Mehdi; Berman, Oded; Larson, Richard C",2021,Simulation ,NA,NA,To propose a system that would place sensors in a number of wastewater manholes in a community in order to detect genetic remnants of SARS-Cov-2 found in the excreted stool of infected persons,No,NA,NA,None,Bucket A,,,,,,,,,,,,,,,,,,
Evidence of hepatitis A virus circulation in central Argentina:seroprevalence and environmental surveillance,"Yanez, Laura A; Lucero, Noelia S; Barril, Patricia A; Díaz, María Del P; Tenaglia, María M; Spinsanti, Lorena I; Nates, Silvia V; Isa, María B; Ré, Viviana E",2014,Surveillance Study,prevalence of anti-HAV in indivudal samples and wastewater,Hepatitis A,To provide information on HAV immune status of the adult population of Córdoba city and to conduct environmental surveillance of HAV in sewage and river samples in the same region,No,"Córdoba, Argentina",Argentina,None,Bucket A,,,,,,,,,,,,,,,,,,
Detection of vaccine-derived polioviruses in Mexico using environmentalsurveillance,"Esteves-Jaramillo, Alejandra; Estívariz, Concepción F; Peñaranda, Silvia; Richardson, Vesta L; Reyna, Jesús; Coronel, Diana L; Carrión, Veronica; Landaverde, Jose M; Wassilak, Steven G F; Pérez-Sánchez, Elda E; López-Martínez, Irma; Burns, Cara C; Pallansch, Mark A",2014,Surveillance Study,Polio strain identification in environmental surveillance samples ,Polio,"To detect emergence of vaccine dervied strains of Poliovirus prior to, during and following oral poliovrius mass immunization campaign in 4 towns in Mexico ",No,Mexico,Mexico,None,Bucket A,,,,,,,,,,,,,,,,,,
Mass loading and removal of select illicit drugs in two wastewatertreatment plants in New York State and estimation of illicit drug usage incommunities through wastewater analysis,"Subedi, Bikram; Kannan, Kurunthachalam",2014,Surveillance Study,"Select illicit drug presence in wasteater from two wastewater treatment plants in Albany, New York",Illicit/Nonillicit Drugs,,No,"Albany, New York, USA",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
"Environmental surveillance of poliovirus and non-polio enterovirus inurban sewage in Dakar, Senegal (2007-2013)","Ndiaye, Abdou Kader; Diop, Pape Amadou Mbathio; Diop, Ousmane Madiagne
",2014,Surveillance Study,Viruses extracted from raw sewage in 6 neighborhoods in Dakar and classified as polioviruses or non polio enteroviruses through RT-PCR,Polio,To assess polioviruses and non polio enteroviruses circulation in sewage drains covering a significant population of Dakar,No,"Dakar, Senegal",Senegal,None,Bucket A,,,,,,,,,,,,,,,,,,
Wastewater network infrastructure in public health: Applications andlearnings from the COVID-19 pandemic,"Sharara, Nour; Endo, Noriko; Duvallet, Claire; Ghaeli, Newsha; Matus, Mariana; Heussner, Jennings; Olesen, Scott W; Alm, Eric J; Chai, Peter R; Erickson, Timothy B",2021,Review ,NA,NA,To discuss the applications and learnings of wastewater epidemiology used during the COVID-19 pandemic for application to other infectious diseases,No,NA,NA,Explicit,Not Bucket A,Discusses gaps in WBE that need to be filled to achieve health equity (i.e. expanding surveillance to all especially remote regions) ,,,,,,,,,,,,,,,,,
Quantitative analysis of SARS-CoV-2 RNA from wastewater solids incommunities with low COVID-19 incidence and prevalence,"D'Aoust, Patrick M; Mercier, Elisabeth; Montpetit, Danika; Jia, Jian-Jun; Alexandrov, Ilya; Neault, Nafisa; Baig, Aiman Tariq; Mayne, Janice; Zhang, Xu; Alain, Tommy; Langlois, Marc-André; Servos, Mark R; MacKenzie, Malcolm; Figeys, Daniel; MacKenzie, Alex E; Graber, Tyson E; Delatolla, Robert",2021,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,To quantify viral RNA N1 and N2 gene regions collected from influent post grit solids in two water resource reocvery facilities in Canada ,No,"Ottawa, Canda; Gatineau, Canada",Canada,None,Bucket A,,,,,,,,,,,,,,,,,,
Harnessing the Power of the Census: Characterizing Wastewater TreatmentPlant Catchment Populations for Wastewater-Based Epidemiology,"Tscharke, Benjamin J; O'Brien, Jake W; Ort, Christoph; Grant, Sharon; Gerber, Cobus; Bade, Richard; Thai, Phong K; Thomas, Kevin V; Mueller, Jochen F",2019,Report?,Wastewater catchment information and census information,NA,"To evaluate the accuracy of Wastewater Treatment Plant (WWTP) reported populations, as well as hydrochemical parameters, against accurate populations from a population census",No,Australia,Australia,Implicit,Not Bucket A,Discusses the limiations of census data in capturing full populatuons ,,,,,,,,,,,,,,,,,
"JC polyomavirus circulation in one-year surveillance in wastewater inSantiago, Chile","Levican, Jorge; Levican, Arturo; Ampuero, Manuel; Gaggero, Aldo",2019,Surveillance Study,JCPyV presence in wastewater,Human polyomavirus 2,"To detect and characterize the JCPyV that circulates in Santiago, Chile using sewage samples from wastewater
treatment plants (WWTP)",No,"Santiago, Chile",Chile,None,Bucket A,,,,,,,,,,,,,,,,,,
Evaluation of eight psychoactive drugs used in Chinese cities bywastewater-based epidemiology,"Shao, Xue-Ting; Liu, Si-Yu; Zhao, Yue-Tong; Jiang, Bing; Lin, Jian-Guo; Wang, De-Gao",2022,Surveillance Study,"Analytes diphenhydramine, fluoxetine, doxepin, imipramine, sulpiride, zolpidem, carbamazepine, flunitrazepam, and 7-aminoflunitrazepam (a metabolite of flunitrazepam) presence",Illicit/Nonillicit Drugs,To detect presence of eight psycohactive drugs in Chinese cities,Yes,China,China,Implicit,Not Bucket A,Discussion of the economic and social risk factors for mental health disorder,,,,,,,,,,,,,,,,,
"Wastewater analysis reveals urban, suburban, and rural spatial patterns ofillicit drug use in Dalian, China","Cong, Zi-Xiang; Shao, Xue-Ting; Liu, Si-Yu; Pei, Wei; Wang, De-Gao
",2021,Surveillance Study,"biomarker concentrations of illicit drugs including morphine, methamphetamine, norketamine methylenedioxymethamphetamine and benzyoylecgonine",Illicit/Nonillicit Drugs,"To compare the differences between urban, suburban, and rural drug use in China",No,China,China,None,Bucket A,,,,,,,,,,,,,,,,,,
A National Wastewater Monitoring Program for a better understanding ofpublic health: A case study using the Australian Census,"O'Brien, Jake W; Grant, Sharon; Banks, Andrew P W; Bruno, Raimondo; Carter, Stephen; Choi, Phil M; Covaci, Adrian; Crosbie, Nicholas D; Gartner, Coral; Hall, Wayne; Jiang, Guangming; Kaserzon, Sarit; Kirkbride, K Paul; Lai, Foon Yin; Mackie, Rachel; Marshall, Judi; Ort, Christoph; Paxman, Christopher; Prichard, Jeremy; Thai, Phong; Thomas, Kevin V; Tscharke, Ben; Mueller, Jochen F",2019,Report?,Estimated coverage of WWTP catchment sites,NA,"To describe a national wastewater monitoring study that combines influent, effluent and biosolids sampling with the Australian Census",No,Australia,Australia,None ,Bucket A,Does provide a list of recommendations but none include issues of equity,,,,,,,,,,,,,,,,,
Whole campus wastewater surveillance of SARS-CoV-2 for COVID-19 outbreakmanagement,"Sharaby, Y; Gilboa, Y; Alfiya, Y; Sabach, S; Cheruti, U; Friedler, Eran",2023,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,To intiate WBE as a desicion support tool for the detection and containment of COVID-19 spread in the Technion campus ,No,Israel,Israel,None,Bucket A,,,,,,,,,,,,,,,,,,
Long-term wastewater-based surveillance and impacts of the COVID-19pandemic on drug use trends in a U.S. Northeast rural town,"Luo, Jiayue; Bello, Dhimiter; Pagsuyoin, Sheree
",2023,Surveillance Study,"Ten priority opioids and stimulants: morphine, codeine, hydrocodone, methadone, fentanyl cocaine, methamphetamine, amphetamine, 3,4-methylenedioxymethamphetamine (MDMA), and 3,4-methylenedioxy-N-ethylamphetamine (MDEA)",Illicit/Nonillicit Drugs,To discuss the findings of a two-year wastewater-based drug use surveillance from September 2018 to August 2020 and present objective evidence on the impacts of the COVID-19 pandemic on drug use in a rural community,No,USA,USA,None,Bucket A,,,,,,,,,,,,,,,,,,
Using quantitative wastewater analysis to measure daily usage ofconventional and emerging illicit drugs at an annual music festival,"Lai, Foon Yin; Thai, Phong K; O'Brien, Jake; Gartner, Coral; Bruno, Raimondo; Kele, Benjamin; Ort, Christoph; Prichard, Jeremy; Kirkbride, Paul; Hall, Wayne; Carter, Steve; Mueller, Jochen F",2013,Surveillance Study,Daily composite wastewater samples analyzed for drug metabolites,Illicit/Nonillicit Drugs,"To determine daily use of conventional illicit drugs [cannabis, cocaine, methamphetamine and 3,4-methylenedioxymethamphetamine (MDMA)] and emerging illicit psychostimulants (benzylpiperazine, mephedrone and methylone) in two consecutive years (2010 and 2011) at an annual music festival",No,Australia,Australia,Implicit,Not Bucket A,Discusses the ethical issues of using only consumer surveys in the jurisdiction ,,,,,,,,,,,,,,,,,
Modeling the spread of polio in an IPV-vaccinated population: lessonslearned from the 2013 silent outbreak in southern Israel,"Yaari, Rami; Kaliner, Ehud; Grotto, Itamar; Katriel, Guy; Moran-Gilad, Jacob; Sofer, Danit; Mendelson, Ella; Miller, Elizabeth; Huppert, Amit; POG group; Anis, E; Kopel, E; Manor, Y; Mor, O; Shulman, L; Singer, R; Weil, M",2016,Mathematical Model ,"Effect of alternative timings, coverages and dosages of the OPV campaign on the outcome of the outbreak",Polio,To use a transmission model fit to stool surveys and parametrized by environemental surveillance measurements to evalaute the prevalence of wild poliovirus in Bedouin children and the effectiveness of the OPV vaccination campaign ,No,Israel,Israel,None,Bucket A,,,,,,,,,,,,,,,,,,
Surveillance of SARS-CoV-2 in sewage from buildings housing residents withdifferent vulnerability levels,"Pico-Tomàs, Anna; Mejías-Molina, Cristina; Zammit, Ian; Rusiñol, Marta; Bofill-Mas, Sílvia; Borrego, Carles M; Corominas, Lluís",2023,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,"To assess the agreement between the SARS-CoV-2 concentration in wastewater and the policies applied in buildings (a school, a university campus, a university residence, and an elderly residence) that host residents of different levels of vulnerability",No,"Catalonia, Spain",Spain,Implicit,Not Bucket A,Considers vulnerability of different sampling sites,,,,,,,,,,,,,,,,,
Wastewater-based assessment of regional and temporal consumption patternsof illicit drugs and therapeutic opioids in Croatia,"Krizman, Ivona; Senta, Ivan; Ahel, Marijan; Terzic, Senka
",2016,Surveillance Study,"Doses per day per 1000 inhabitatant of illicit drugs (heroin, cocaine, amphetamine, MDMA, methamphetamine, cannabis) and therapeutic opioids (codeine, methadone) ",Illicit/Nonillicit Drugs,"To comprehensively study of spatial and temporal consumption patterns of the selected illicit drugs (heroin, cocaine, amphetamine, MDMA, methamphetamine, cannabis) and therapeutic opioids (codeine, methadone) has been performed in six Croatian cities by applying wastewater-based epidemiology",No,Croatia,Croatia,Implicit,Not Bucket A,Considers regional differences,,,,,,,,,,,,,,,,,
Wastewater and surface monitoring to detect COVID-19 in elementary schoolsettings: The Safer at School Early Alert project,"Fielding-Miller, Rebecca; Karthikeyan, Smruthi; Gaines, Tommi; Garfein, Richard S; Salido, Rodolfo A; Cantu, Victor J; Kohn, Laura; Martin, Natasha K; Wynn, Adriane; Wijaya, Carrissa; Flores, Marlene; Omaleki, Vinton; Majnoonian, Araz; Gonzalez-Zuniga, Patricia; Nguyen, Megan; Vo, Anh V; Le, Tina; Duong, Dawn; Hassani, Ashkan; Tweeten, Samantha; Jepsen, Kristen; Henson, Benjamin; Hakim, Abbas; Birmingham, Amanda; De Hoff, Peter; Mark, Adam M; Nasamran, Chanond A; Rosenthal, Sara Brin; Moshiri, Niema; Fisch, Kathleen M; Humphrey, Greg; Farmer, Sawyer; Tubb, Helena M; Valles, Tommy; Morris, Justin; Kang, Jaeyoung; Khaleghi, Behnam; Young, Colin; Akel, Ameen D; Eilert, Sean; Eno, Justin; Curewitz, Ken; Laurent, Louise C; Rosing, Tajana; Knight, Rob",2023,Surveillance Study,Detection of SARS-CoV-2 in surface and wastewater samples,COVID-19,To determine the effectiveness and accuracy of community-based passive wastewater and surface (environmental) surveillance to detect SARS-CoV-2 infection in neighborhood schools compared to weekly diagnostic (PCR) testing,NA,USA,USA,None,Bucket A,,,,,,,,,,,,,,,,,,
A spatio-temporal framework for modelling wastewater concentration duringthe COVID-19 pandemic,"Li, Guangquan; Denise, Hubert; Diggle, Peter; Grimsley, Jasmine; Holmes, Chris; James, Daniel; Jersakova, Radka; Mole, Callum; Nicholson, George; Smith, Camila Rangel; Richardson, Sylvia; Rowe, William; Rowlingson, Barry; Torabi, Fatemeh; Wade, Matthew J; Blangiardo, Marta",2023,Mathematical Model ,"Prediction of the weekly viral concentration at the population-weighted centroid of the 32,844 lower super output areas (LSOAs) in England, then aggregate these LSOA predictions to the Lower Tier Local Authority level (LTLA). Additionally evaluate the model’s predictive performance at the catchment level through 10-fold cross-validationAdditionally",NA,"To predict wastewater concentration at fine spatio-temporal resolutions covering an entire country, a necessary step towards using wastewater monitoring for the early detection of local outbreaks",No,England,UK,None ,Bucket A,Considers spatial resolution of wastewater based COVID models ,,,,,,,,,,,,,,,,,
Rapid Assessment of Opioid Exposure and Treatment in Cities ThroughRobotic Collection and Chemical Analysis of Wastewater,"Endo, Norkio; Ghaeli, Newsha; Duvallet, Claire; Foppe, Katelyn; Erickson, Timothy B; Matus, Mariana; Chai, Peter R
",2020,Surveillance Study,Metabolite concentration of parent opiod compounds,Illicit/Nonillicit Drugs,"To deploy a robotic sampling device at targeted manholes within a city to semi-quantitatively detect opioid metabolites (e.g., morphine glucuronide) at a sub-city community resolution.",No," North Carolina, USA",USA,Implicit,Not Bucket A,Describes working with local municipal authroties to avoid data misuse ,,,,,,,,,,,,,,,,,
"Wastewater Levels of Respiratory Syncytial Virus Associated withInfluenza-like Illness Rates in Children-A Case Study in Larissa, Greece(October 2022-January 2023)","To estimate community illicit drug use in eleven Turkish cities, using eighteen wastewater treatment plants, representing the metropolitan cities and rural areas with different socio-demographic characteristics",2023,Surveillance Study,RSV and SARS-CoV-2 wastewater viral loads ,COVID-19,To evaluate whether monitoring of respiratory syncytial virus (RSV) in wastewater can provide a comprehensive picture of disease transmission at the community level,Yes,"Larissa, Greece",Greece,None ,Bucket A,,,,,,,,,,,,,,,,,,
Assessment of virus concentration methods for detecting SARS-CoV-2 INwastewater,"Ribeiro, André V C; Mannarino, Camille F; de Castro, Eduardo S G; Prado, Tatiana; Ferreira, Fernando C; Fumian, Tulio M; Miagostovich, Marize P",2023,Surveillance Method Evaluation ,Limit of detection (LoD) and limit of quantification (LoQ) of SARS-CoV-2 from wastewater samples ,COVID-19,"To compare two viral concentration methods, ultracentrifugation (ULT) and skimmed-milk flocculation (SMF), for detecting SARS-CoV-2 in wastewater samples",No,", Rio de Janeiro, Brazil ",Brazil,None ,Bucket A,,,,,,,,,,,,,,,,,,
Changing composition of SARS-CoV-2 lineages and rise of Delta variant inEngland,"Mishra, Swapnil; Mindermann, Sören; Sharma, Mrinank; Whittaker, Charles; Mellan, Thomas A; Wilton, Thomas; Klapsa, Dimitra; Mate, Ryan; Fritzsche, Martin; Zambon, Maria; Ahuja, Janvi; Howes, Adam; Miscouridou, Xenia; Nason, Guy P; Ratmann, Oliver; Semenova, Elizaveta; Leech, Gavin; Sandkühler, Julia Fabienne; Rogers-Smith, Charlie; Vollmer, Michaela; Unwin, H Juliette T; Gal, Yarin; Chand, Meera; Gandy, Axel; Martin, Javier; Volz, Erik; Ferguson, Neil M; Bhatt, Samir; Brauner, Jan M; Flaxman, Seth; COVID-19 Genomics UK (COG-UK) Consortium",2021,Surveillance Study ,Prevalence of non B.1.1.7 lineages in London and other English regions ,COVID-19,"To examine trends in the prevalence of non-B.1.1.7 lineages in London and other English regions using passive-case detection PCR data, cross-sectional community infection surveys, genomic surveillance, and wastewater monitoring, to understand when and how additional VOCs pose a threat in settings where B.1.1.7 is currently dominant",No,England,UK,None,Bucket A,,,,,,,,,,,,,,,,,,
